DATABASE	FORMULA	CHARGE
cpd08409_c0	C6H10O5	0
cpd08410_c0	C16H17N3OS	0
cpd08411_c0	C16H16N3O4S2	-1
cpd08412_c0	C22H24N3O7S	-1
cpd08413_c0	C21H30N3O5S	-1
cpd08414_c0	C25H29N3O9F	-1
cpd08415_c0	H3NO	0
cpd08416_c0	C28H19N5O5I	1
cpd08417_c0	C26H28N6O3I	1
cpd08418_c0	C21H23N2O4SCl	6
cpd08419_c0	C25H31N6O2	1
cpd08420_c0	C23H33N5O8SCl	-1
cpd08421_c0	C23H45N6O5	1
cpd08422_c0	C11H10N3O7S	-1
cpd08423_c0	C32H47N8O5	1
cpd08424_c0	C41H69N7O8	0
cpd08425_c0	C26H29O9	-1
cpd08426_c0	C40H67O11	-1
cpd08427_c0	C33H60N5O9	-1
cpd08428_c0	C12H16O6	0
cpd08429_c0	C45H54N8O10	0
cpd08430_c0	C44H52N8O10	0
cpd08431_c0	C44H52N8O10	0
cpd08432_c0	C22H29N7O5	0
cpd08433_c0	C14H24N2O7	0
cpd08434_c0	C17H13O8	-1
cpd08435_c0	C16H12O4	0
cpd08436_c0	C24H24N2OCl	1
cpd08437_c0	C46H59N4O13S	-1
cpd08438_c0	O4V	7
cpd08439_c0	C7H9N3	0
cpd08440_c0	C25H34NO8S	-3
cpd08441_c0	C33H34N4O6	-2
cpd08442_c0	C10H9N4O6	-1
cpd08443_c0	C21H22N2O3	0
cpd08444_c0	C19H20N2O	0
cpd08445_c0	C19H20N2O	0
cpd08446_c0	C19H22N2O	0
cpd08447_c0	C16H23O9	-1
cpd08448_c0	C24H37O4	-1
cpd08449_c0	C3H8NO5P	0
cpd08450_c0	C27H34O15	0
cpd08451_c0	C21H34O11	0
cpd08452_c0	C46H57N4O8	1
cpd08453_c0	C21H24N2O3	0
cpd08454_c0	C21H24N2O3	0
cpd08455_c0	C17H26O12	0
cpd08456_c0	C18H28O11	0
cpd08457_c0	C25H34O13	0
cpd08458_c0	C24H31O13	-1
cpd08459_c0	C17H26O9	0
cpd08460_c0	C16H23O9	-1
cpd08461_c0	C25H34O13	0
cpd08462_c0	C10H16O2	0
cpd08463_c0	C16H24O8	0
cpd08464_c0	C16H24O8	0
cpd08465_c0	C16H22O9	0
cpd08466_c0	C26H30O15	0
cpd08467_c0	C16H26O7	0
cpd08468_c0	C24H34O11	0
cpd08469_c0	C24H34O11	0
cpd08470_c0	C17H26O11	0
cpd08471_c0	C17H26O12	0
cpd08472_c0	C16H23O10	-1
cpd08473_c0	C25H34O14	0
cpd08474_c0	C27H36O15	0
cpd08475_c0	C25H32O13	0
cpd08476_c0	C25H32O13	0
cpd08477_c0	C26H36O13	0
cpd08478_c0	C26H36O13	0
cpd08479_c0	C25H32O14	0
cpd08480_c0	C25H32O14	0
cpd08481_c0	C16H26O7	0
cpd08482_c0	C15H22O9	0
cpd08483_c0	C16H21O9	-1
cpd08484_c0	C16H21O10	-1
cpd08485_c0	C17H24O12	0
cpd08486_c0	C22H26N2O3	0
cpd08487_c0	C21H24N2O3	0
cpd08488_c0	C21H24N2O4	0
cpd08489_c0	C21H24N2O4	0
cpd08490_c0	C21H23N2O3	1
cpd08491_c0	C21H22N2O3	0
cpd08492_c0	C21H22N2O3	0
cpd08493_c0	C21H24N2O3	0
cpd08494_c0	C21H24N2O3	0
cpd08495_c0	C27H35N5O7S	0
cpd08496_c0	C13H16NOCl2	1
cpd08497_c0	C8H11N3O2Cl2	0
cpd08498_c0	C2H5N	0
cpd08499_c0	C31H29N5O4	0
cpd08500_c0	C23H35NOS	0
cpd08501_c0	C11H13N2Cl	0
cpd08502_c0	C21H27N2O3	1
cpd08503_c0	C11H18N3O8	1
cpd08504_c0	C21H14N3O2F	0
cpd08505_c0	C22H37NO2	0
cpd08506_c0	C14H23N2O3	1
cpd08507_c0	C16H18N2O3	0
cpd08508_c0	C16H25NOF	1
cpd08509_c0	C27H26NO3F	0
cpd08510_c0	C29H36O10	0
cpd08511_c0	C13H12N6OCl2	0
cpd08512_c0	C13H7O4SCl2	-1
cpd08513_c0	C11H18NO3	1
cpd08514_c0	C17H12O2S2BrF	0
cpd08515_c0	C17H12N2O2SF4	0
cpd08516_c0	C18H17O2SF	0
cpd08517_c0	C15H20NO	1
cpd08518_c0	C17H26N2O4S	0
cpd08519_c0	C19H27N2O3S	1
cpd08520_c0	C25H20N4O2	0
cpd08521_c0	C9H11NO5	-2
cpd08522_c0	C53H76N14O12	0
cpd08523_c0	C10H8O	0
cpd08524_c0	C10H8O	0
cpd08525_c0	C20H25N2OS	1
cpd08526_c0	C13H22N2Cl	1
cpd08527_c0	C21H36N4O5S	0
cpd08528_c0	C18H15N2O2SCl	0
cpd08529_c0	C17H13N2O2SCl	0
cpd08530_c0	C18H23N2O5	-1
cpd08531_c0	C20H31NO7	-2
cpd08532_c0	C12H16N2O3	0
cpd08533_c0	C45H42N10O6Cl2	-2
cpd08534_c0	C22H29N4O3Cl	2
cpd08535_c0	C27H42N2O6Cl2	0
cpd08536_c0	C15H15N2O8Cl2	-1
cpd08537_c0	C18H33N2O8PSCl	-1
cpd08538_c0	C19H22N3O4S	-1
cpd08539_c0	C44H32N4O4	0
cpd08540_c0	C7H6NOCl	0
cpd08541_c0	C10H15O4P	0
cpd08542_c0	C16H38N2	2
cpd08543_c0	C22H22N3O2SF	0
cpd08544_c0	C4H9NO2	0
cpd08545_c0	C9H11N2O5F	0
cpd08546_c0	C24H21N5O6	-2
cpd08547_c0	C10H13N2Cl	0
cpd08548_c0	C15H14N4O	0
cpd08549_c0	C17H16N4O	0
cpd08550_c0	C16H14N3OSF3	0
cpd08551_c0	C22H17N3O2F4	0
cpd08552_c0	C22H19N4O2F3	0
cpd08553_c0	C12H12N2O2As2	0
cpd08554_c0	C13H11N3O5S2	-2
cpd08555_c0	C19H16N3O5SClF	-1
cpd08556_c0	C16H18N3O4S	-1
cpd08557_c0	C22H29N3O6S	0
cpd08558_c0	C24H23N3O6S	0
cpd08559_c0	C23H21N2O6S	-1
cpd08560_c0	C19H17N3O4S2	0
cpd08561_c0	C13H14N2O8S2	-2
cpd08562_c0	C7H10N2O4R	-1
cpd08563_c0	C26H43O9	-1
cpd08564_c0	C18H30NO3	1
cpd08565_c0	Br	-1
cpd08566_c0	Cl	-1
cpd08567_c0	C12H19N2O2	1
cpd08568_c0	C4H10O2PF	0
cpd08569_c0	C7H10N2O	0
cpd08570_c0	C14H23N2O2	1
cpd08571_c0	C14H23N3OS	0
cpd08572_c0	C9H14NO3	1
cpd08573_c0	C12H21N2O4S	1
cpd08574_c0	C13H22NO3	1
cpd08575_c0	C19H26NO4	1
cpd08576_c0	C11H16NOCl2	1
cpd08577_c0	C20H24N3O4	1
cpd08578_c0	C17H24N3O4	1
cpd08579_c0	C16H26N3O5	1
cpd08580_c0	C9H14NO	1
cpd08581_c0	C9H13N3O	0
cpd08582_c0	C19H21NO4	0
cpd08583_c0	C18H21NO3	0
cpd08584_c0	C19H23NO3	0
cpd08585_c0	C19H21NO4	0
cpd08586_c0	C17H21NO3	0
cpd08587_c0	C21H26N2O3	0
cpd08588_c0	C23H28N2O4	0
cpd08589_c0	C16H17NO3	0
cpd08590_c0	C17H19NO4	0
cpd08591_c0	C19H21NO3	0
cpd08592_c0	C17H23N	0
cpd08593_c0	C15H21NO	0
cpd08594_c0	C22H27NO	0
cpd08595_c0	C20H29NO2	0
cpd08596_c0	C15H21NO2	0
cpd08597_c0	C25H34NO4	1
cpd08598_c0	C26H36NO4	1
cpd08599_c0	C19H25NO2	0
cpd08600_c0	C19H26N2OCl2	0
cpd08601_c0	C22H20N3OSF	0
cpd08602_c0	C17H24N3O	1
cpd08603_c0	C8H14N4S	0
cpd08604_c0	C8H14N4S2	0
cpd08605_c0	C10H19N4S	1
cpd08606_c0	C8H14N4OS	0
cpd08607_c0	C19H21N5O3S	0
cpd08608_c0	C18H28N6O	0
cpd08609_c0	C19H29N5O2	0
cpd08610_c0	C16H15N3O4SF2	0
cpd08611_c0	C21H22N2O2	0
cpd08612_c0	C21H24N2O3	0
cpd08613_c0	C21H27N2O3	1
cpd08614_c0	C19H25N2O2	1
cpd08615_c0	C5H10O8P2	-2
cpd08616_c0	C22H26N2O4	0
cpd08617_c0	C24H29NO10	0
cpd08618_c0	C24H29NO10	0
cpd08619_c0	C25H31NO10	0
cpd08620_c0	C19H27NO3	0
cpd08621_c0	C29H37N3O2	0
cpd08622_c0	C20H21NO4	0
cpd08624_c0	C10H13NO3	0
cpd08625_c0	C5H4N4O4	0
cpd08626_c0	C3H5NO3	0
cpd08627_c0	C3H2O2R	-1
cpd08628_c0	C21H34O2	0
cpd08629_c0	C35H33N4O5Mg	0
cpd08630_c0	C35H31N4O5Mg	0
cpd08631_c0	C35H28N4O5Mg	-1
cpd08632_c0	C35H31N4O5Mg	0
cpd08633_c0	C8H8NO5	-1
cpd08634_c0	C14H14O2	0
cpd08635_c0	C8H13NO3	0
cpd08636_c0	C5H8O4	0
cpd08637_c0	C10H15NO4	0
cpd08638_c0	C16H27NO4	0
cpd08639_c0	C12H19NO4	0
cpd08640_c0	C8H13NO4	0
cpd08641_c0	C8H14NO4	-1
cpd08642_c0	C11H19NO3	0
cpd08643_c0	C18H31NO4	0
cpd08644_c0	C8H12N2O2	0
cpd08645_c0	C14H16N2O2	0
cpd08646_c0	C16H21NO2	0
cpd08647_c0	C17H34O3	0
cpd08648_c0	C55H70N4O5Mg	1
cpd08649_c0	C55H74N4O6Zn	1
cpd08651_c0	C20H27O4	-1
cpd08652_c0	C19H20O5	-2
cpd08653_c0	C19H20O6	-2
cpd08654_c0	C19H21O6	-1
cpd08655_c0	C20H26O4	-2
cpd08656_c0	C20H26O5	-2
cpd08657_c0	C20H26O6	-2
cpd08658_c0	C20H26O5	-2
cpd08659_c0	C20H24O5	-2
cpd08660_c0	C20H24O6	-2
cpd08661_c0	C19H23O4	-1
cpd08662_c0	C19H23O5	-1
cpd08663_c0	C19H23O5	-1
cpd08664_c0	C19H21O4	-1
cpd08665_c0	C19H21O5	-1
cpd08666_c0	C19H23O6	-1
cpd08667_c0	C19H20O6	-2
cpd08668_c0	C19H20O7	-2
cpd08669_c0	C19H21O5	-1
cpd08670_c0	C20H32O	0
cpd08671_c0	C20H30O	0
cpd08672_c0	C20H29O2	-1
cpd08673_c0	C20H29O3	-1
cpd08674_c0	C20H29O4	-1
cpd08675_c0	C20H32	0
cpd08676_c0	C20H32	0
cpd08677_c0	C20H32	0
cpd08678_c0	C20H32	0
cpd08679_c0	C20H32	0
cpd08680_c0	C20H32O	0
cpd08681_c0	C20H32O	0
cpd08682_c0	C20H32O	0
cpd08683_c0	C20H30O	0
cpd08684_c0	C20H30O	0
cpd08685_c0	C20H30O	0
cpd08686_c0	C20H29O2	-1
cpd08687_c0	C20H29O2	-1
cpd08688_c0	C20H34O	0
cpd08689_c0	C20H32	0
cpd08690_c0	C20H32	0
cpd08691_c0	C20H32	0
cpd08692_c0	C20H32	0
cpd08693_c0	C20H32O	0
cpd08694_c0	C22H34O2	0
cpd08695_c0	C20H32O2	0
cpd08696_c0	C22H34O3	0
cpd08697_c0	C22H32O9	0
cpd08698_c0	C31H38O11	0
cpd08700_c0	C20H34O7P2	-2
cpd08701_c0	C37H50N2O	0
cpd08702_c0	C37H52N2O	0
cpd08703_c0	C20H27O4	-1
cpd08704_c0	O2NaAs	0
cpd08706_c0	C16H22N2O15P2	-2
cpd08707_c0	C16H22N2O14P2	-2
cpd08708_c0	C16H26N3O13P2	-1
cpd08709_c0	C18H30N3O13P2	-1
cpd08710_c0	C16H24N2O15P2	-2
cpd08711_c0	C8H16O5	0
cpd08712_c0	C17H24N2O14P2	-2
cpd08713_c0	C17H26N2O14P2	-2
cpd08714_c0	C8H16O4	0
cpd08715_c0	C6H5O3	-1
cpd08716_c0	C18H30N3O13P2	-1
cpd08717_c0	C16H24N2O14P2	-2
cpd08718_c0	C17H26N2O14P2	-2
cpd08719_c0	C16H22N2O14P2	-2
cpd08720_c0	C16H24N2O14P2	-2
cpd08721_c0	C10H13O2	-1
cpd08722_c0	C16H26N3O14P2	-1
cpd08723_c0	C16H22N2O15P2	-2
cpd08724_c0	C16H22N2O14P2	-2
cpd08725_c0	C16H22N2O14P2	-2
cpd08726_c0	C31H45N7O17P3S	-3
cpd08727_c0	C16H19N2O14P2	-3
cpd08728_c0	C16H19N2O14P2	-3
cpd08729_c0	C16H22N2O14P2	-2
cpd08730_c0	C18H30N3O14P2	-1
cpd08731_c0	C31H47N7O18P3S	-3
cpd08732_c0	C31H45N7O18P3S	-3
cpd08733_c0	C31H46N7O19P3S	-4
cpd08734_c0	C10H16O2	0
cpd08735_c0	C10H16O	0
cpd08736_c0	C10H14O	0
cpd08737_c0	C10H13O2	-1
cpd08738_c0	C10H16O	0
cpd08739_c0	C10H16O	0
cpd08740_c0	C10H15O2	-1
cpd08741_c0	C10H15O2	-1
cpd08742_c0	C31H47N7O17P3S	-3
cpd08743_c0	C31H47N7O17P3S	-3
cpd08744_c0	C31H49N7O18P3S	-3
cpd08745_c0	C31H47N7O18P3S	-3
cpd08746_c0	C28H43N7O17P3S	-3
cpd08747_c0	C7H11O2	-1
cpd08748_c0	C10H16O	0
cpd08749_c0	C10H18O	0
cpd08750_c0	C33H48O8	0
cpd08751_c0	C33H46O9	0
cpd08752_c0	C33H48O9	0
cpd08753_c0	C34H50O9	0
cpd08754_c0	C40H60O12	0
cpd08755_c0	C41H62O12	0
cpd08756_c0	C47H72O15	0
cpd08757_c0	C48H74O15	0
cpd08758_c0	C33H46O7	0
cpd08759_c0	C33H44O8	0
cpd08760_c0	C33H46O8	0
cpd08761_c0	C34H48O8	0
cpd08762_c0	C40H58O11	0
cpd08763_c0	C41H60O11	0
cpd08764_c0	C47H70O14	0
cpd08765_c0	C48H72O14	0
cpd08766_c0	C34H50O8	0
cpd08767_c0	C34H48O9	0
cpd08768_c0	C34H50O9	0
cpd08769_c0	C35H52O9	0
cpd08770_c0	C41H62O12	0
cpd08771_c0	C42H64O12	0
cpd08772_c0	C48H74O15	0
cpd08773_c0	C49H76O15	0
cpd08774_c0	C34H48O7	0
cpd08775_c0	C34H46O8	0
cpd08776_c0	C34H48O8	0
cpd08777_c0	C35H50O8	0
cpd08778_c0	C41H60O11	0
cpd08779_c0	C42H62O11	0
cpd08780_c0	C48H72O14	0
cpd08781_c0	C49H74O14	0
cpd08782_c0	C44H82N2O15	2
cpd08783_c0	C46H84N2O16	2
cpd08784_c0	C48H86N2O17	2
cpd08785_c0	C49H88N2O17	2
cpd08786_c0	C20H36O6	0
cpd08787_c0	C20H34O7	0
cpd08788_c0	C26H44O10	0
cpd08789_c0	C27H46O10	0
cpd08790_c0	C17H28O4	0
cpd08791_c0	C25H44NO6	1
cpd08792_c0	C25H44NO7	1
cpd08793_c0	C25H44NO7	1
cpd08794_c0	C20H32O5	0
cpd08795_c0	C28H48NO7	1
cpd08796_c0	C28H48NO8	1
cpd08797_c0	C23H38O5	0
cpd08798_c0	C31H54NO8	1
cpd08799_c0	C31H52NO10	1
cpd08800_c0	C37H62NO14	1
cpd08801_c0	C42H65N5O21S	-2
cpd08802_c0	C38H48N8O12S	0
cpd08803_c0	C119H156N21O40Cl	2
cpd08804_c0	C43H66N5O10	1
cpd08805_c0	C27H34N5O8	-1
cpd08806_c0	C29H39N5O8	0
cpd08807_c0	C72H98N17O26	-3
cpd08808_c0	C73H90N10O26Cl2	2
cpd08809_c0	C58H42N7O21SCl3	-2
cpd08810_c0	C21H21N3O7S2	-2
cpd08811_c0	C20H20N4O5S2	0
cpd08812_c0	C21H18NO4	-1
cpd08813_c0	C42H60N3O10	1
cpd08814_c0	C3H8NO5P	0
cpd08815_c0	C6H13NO7P2	-2
cpd08816_c0	C25H35N3O	0
cpd08817_c0	C67H76N14O26	-4
cpd08818_c0	C9H18N2O5	0
cpd08819_c0	C8H9NO4	0
cpd08820_c0	C10H17NO4	0
cpd08821_c0	C9H17NO3	0
cpd08822_c0	C37H51N12O14R	0
cpd08823_c0	C35H36N2O11Cl	-1
cpd08824_c0	C9H12N2O2	0
cpd08825_c0	C86H99N10O26Cl3	2
cpd08826_c0	C79H85N9O24Cl3	1
cpd08827_c0	C72H71N8O23Cl3	0
cpd08828_c0	C14H15N2O3S2	-1
cpd08829_c0	C21H26N3O4S3	-1
cpd08830_c0	C27H41NO5S	0
cpd08831_c0	C26H14N8O7S	0
cpd08832_c0	C66H88N13O13	1
cpd08833_c0	C72H109N12O20	-1
cpd08834_c0	C53H91N7O13	-2
cpd08835_c0	C37H46NO12	-1
cpd08836_c0	C32H43N2O9Cl	0
cpd08837_c0	C88H96N9O33Cl2	-1
cpd08838_c0	C47H77O14	-1
cpd08839_c0	C25H16O12	0
cpd08840_c0	C35H34NO12	1
cpd08841_c0	C70H96NO38Cl2	-1
cpd08842_c0	C48H49N13O9S6	0
cpd08843_c0	C49H51N13O8S6	0
cpd08844_c0	C51H43N13O12S6	0
cpd08845_c0	C72H86N19O18S5	1
cpd08846_c0	C54H52N16O16S2	0
cpd08847_c0	C19H35N3O5	0
cpd08848_c0	C26H34N5O12S	-1
cpd08849_c0	C12H17NO3	0
cpd08850_c0	C12H7O2Cl3	0
cpd08851_c0	C25H32N4O2	2
cpd08852_c0	C8H8O3	0
cpd08853_c0	C28H48NO4S	1
cpd08854_c0	C31H53N2O5S	1
cpd08855_c0	C8H18NO5	1
cpd08856_c0	C56H55N15O10S6	0
cpd08857_c0	C3H3O3	-1
cpd08858_c0	C47H66O13	0
cpd08859_c0	C20H22N2O2	0
cpd08860_c0	C22H24N2O3	0
cpd08861_c0	C20H25N2O	1
cpd08862_c0	C15H20O7	0
cpd08863_c0	C20H29O2	-1
cpd08864_c0	C20H27O2	-1
cpd08865_c0	C12H16O7	0
cpd08866_c0	C22H16O6	0
cpd08867_c0	C47H75O17	-1
cpd08868_c0	C18H29O16	-1
cpd08869_c0	C20H29O2	-1
cpd08870_c0	C13H9O4	-1
cpd08871_c0	C15H11O5	-1
cpd08872_c0	C10H10O2	0
cpd08873_c0	C15H17NO4S	0
cpd08874_c0	C14H11O4	-1
cpd08875_c0	C42H66O18	0
cpd08876_c0	C29H40N8O17P3S	-3
cpd08877_c0	C14H11NO3	0
cpd08878_c0	C30H25O13	-1
cpd08879_c0	C36H35O18	-1
cpd08880_c0	C36H48N2O8	0
cpd08881_c0	C31H34N2O7	0
cpd08882_c0	C17H31O2	-1
cpd08883_c0	C7H9O2	-1
cpd08884_c0	C43H69NO12	0
cpd08885_c0	C18H33O2	-1
cpd08886_c0	C8H13O2	-1
cpd08887_c0	C8H3O3S2	-1
cpd08888_c0	C7H13NO9P	-1
cpd08889_c0	C7H6NO3	-1
cpd08890_c0	C7H9NO4	0
cpd08891_c0	C7H11NO5	0
cpd08892_c0	C7H9NO2	0
cpd08893_c0	C31H38N2O7	0
cpd08894_c0	C20H36NO13	1
cpd08895_c0	C7H12O6	0
cpd08896_c0	C7H5N2O3	-1
cpd08897_c0	C7H6NO3	-1
cpd08898_c0	C30H20N4O5	-2
cpd08899_c0	C15H11N2O3	-1
cpd08900_c0	C16H14N2O3	0
cpd08901_c0	C14H6N2O4	-2
cpd08902_c0	C15H9N2O3	-1
cpd08903_c0	C7H11NO4	0
cpd08904_c0	C15H14O5	0
cpd08905_c0	C15H10O4	0
cpd08906_c0	C15H14O5	0
cpd08907_c0	C16H12O4	0
cpd08908_c0	C19H38NO3R	0
cpd08909_c0	C15H14O7	0
cpd08910_c0	C15H14O5	0
cpd08911_c0	C64H62O41	-4
cpd08912_c0	C57H58O34	-2
cpd08913_c0	C60H59O37	-3
cpd08914_c0	C64H62O42	-4
cpd08915_c0	C58H55O36	-3
cpd08916_c0	C15H10O6	0
cpd08917_c0	C16H12O6	0
cpd08918_c0	C15H14O7	0
cpd08919_c0	C21H19O10	-1
cpd08920_c0	C21H18O12	-2
cpd08921_c0	C22H21O12	-1
cpd08922_c0	C23H23O12	-1
cpd08923_c0	C22H21O11	-1
cpd08924_c0	C15H24	0
cpd08925_c0	C13H10N2O	0
cpd08926_c0	C18H40NO3	1
cpd08927_c0	C19H38NO4R	0
cpd08928_c0	C4H9NO6P	-1
cpd08929_c0	C30H42O7	0
cpd08930_c0	C28H38O6	0
cpd08931_c0	C29H40O6	0
cpd08932_c0	C44H70O9	0
cpd08933_c0	C39H64NO14	1
cpd08934_c0	C26H39NO6S	0
cpd08935_c0	C27H41NO6S	0
cpd08936_c0	C47H75NO17	0
cpd08937_c0	C53H85NO20	0
cpd08938_c0	C25H41NO4	0
cpd08939_c0	C26H41NO3	0
cpd08940_c0	C25H39NO3	0
cpd08941_c0	C24H37NO3	0
cpd08942_c0	C23H35NO3	0
cpd08943_c0	C16H17NO3	0
cpd08944_c0	C17H19NO4	0
cpd08945_c0	C16H17NO4	0
cpd08946_c0	C18H19NO5	0
cpd08947_c0	C18H19NO5	0
cpd08948_c0	C17H19NO3	0
cpd08949_c0	C17H19NO5	0
cpd08950_c0	C17H21NO5	0
cpd08951_c0	C16H19NO4	0
cpd08952_c0	C20H23NO6	0
cpd08953_c0	C17H21NO4	0
cpd08954_c0	C16H19NO3	0
cpd08955_c0	C17H19NO5	0
cpd08956_c0	C35H46NO10	-1
cpd08957_c0	C25H33NO6	0
cpd08958_c0	C18H21NO6	0
cpd08959_c0	C18H21NO5	0
cpd08960_c0	C16H19NO3	0
cpd08961_c0	C15H15NO3	0
cpd08962_c0	C14H9NO2	0
cpd08963_c0	C26H28N2O5	0
cpd08964_c0	C18H23NO5	0
cpd08965_c0	C16H17NO4	0
cpd08966_c0	C16H17NO4	0
cpd08967_c0	C16H19NO4	0
cpd08968_c0	C17H16NO2	1
cpd08969_c0	C16H12NO3	1
cpd08970_c0	C17H19NO4	0
cpd08971_c0	C17H19NO4	0
cpd08972_c0	C17H19NO4	0
cpd08973_c0	C16H17NO3	0
cpd08974_c0	C16H17NO4	0
cpd08975_c0	C17H21NO3	0
cpd08976_c0	C44H36N2O9	0
cpd08977_c0	C44H36N2O9	0
cpd08978_c0	C22H19NO5	0
cpd08979_c0	C15H13NO3	0
cpd08980_c0	C24H23NO5	0
cpd08981_c0	C23H19NO5	0
cpd08982_c0	C20H32O6	0
cpd08983_c0	C31H41N7O20P3S	-3
cpd08984_c0	C10H10O4	0
cpd08985_c0	C10H12O4	0
cpd08986_c0	C9H10O3	0
cpd08989_c0	C15H20N2O17P2	-2
cpd08990_c0	C15H24N3O16P2	-1
cpd08991_c0	C6H14NO5	1
cpd08992_c0	C6H14NO8P	0
cpd08993_c0	C6H14NO8P	0
cpd08994_c0	C4H10NO6P	0
cpd08995_c0	C44H69N5O10	0
cpd08996_c0	C3FeN3	0
cpd08997_c0	C2FeN2	0
cpd08998_c0	C39H42N6O18	0
cpd08999_c0	C20H24N2O7	0
cpd09000_c0	C20H26N3O6	1
cpd09001_c0	C20H13NO5	0
cpd09002_c0	C24H24NO6	-1
cpd09003_c0	C22H21NO5	0
cpd09004_c0	C21H17NO5	0
cpd09005_c0	C20H15NO4	0
cpd09006_c0	C21H18NO4	1
cpd09007_c0	C23H24NO5	1
cpd09008_c0	C22H20NO5	1
cpd09009_c0	C22H20NO5	1
cpd09011_c0	C16H19NO3	0
cpd09012_c0	C17H23NO3	0
cpd09013_c0	C16H21NO3	0
cpd09014_c0	C17H17NO2	0
cpd09015_c0	C17H15NO3	0
cpd09016_c0	C18H21NO5	0
cpd09017_c0	C18H23NO4	0
cpd09018_c0	C17H19NO5	0
cpd09019_c0	C23H27NO8	0
cpd09020_c0	C19H25NO4	0
cpd09021_c0	C20H19NO5	0
cpd09022_c0	C16H19NO2	0
cpd09023_c0	C4H10N	1
cpd09024_c0	C8H11N3O3	0
cpd09025_c0	C35H44NO10	-1
cpd09026_c0	C35H44NO11	-1
cpd09027_c0	C5H5N4O5	-1
cpd09028_c0	C21H20O11	0
cpd09029_c0	C16H11NO3	0
cpd09030_c0	C7H7O2I	0
cpd09031_c0	C17H18NO4Br	0
cpd09032_c0	C15H17NO3	0
cpd09033_c0	C26H26N2O6	0
cpd09034_c0	C14H15NO7	0
cpd09035_c0	C14H15NO6	0
cpd09036_c0	C21H23NO5	0
cpd09037_c0	C20H14O7	0
cpd09038_c0	C20H24N2O2	0
cpd09039_c0	C20H27N2O2	1
cpd09040_c0	C14H26O4Si	0
cpd09041_c0	C19H25NO5	0
cpd09042_c0	C13H16O3	0
cpd09043_c0	C11H9O5	-1
cpd09044_c0	C42H70N8O12R	-1
cpd09045_c0	C37H51N12O14R	0
cpd09046_c0	C37H50N10O15R	-1
cpd09047_c0	C45H68N14O17RCl	0
cpd09048_c0	C5H8NO4	-1
cpd09049_c0	C11H13N2O8	-3
cpd09050_c0	C28H41NO3	0
cpd09051_c0	C26H43NO3	0
cpd09053_c0	H2CaO2	1
cpd09054_c0	C12H22O14	-2
cpd09056_c0	C21H38O4	0
cpd09057_c0	Na	0
cpd09058_c0	C12H19O8Cl3	0
cpd09059_c0	C13H20O	0
cpd09060_c0	C13H20O	0
cpd09061_c0	C14H18O	0
cpd09062_c0	C10H20O2	0
cpd09063_c0	C7H14O2	0
cpd09064_c0	C10H20O2	0
cpd09065_c0	C6H12O2	0
cpd09066_c0	C11H18O2	0
cpd09067_c0	C11H20O2	0
cpd09068_c0	C7H14O2	0
cpd09069_c0	C8H14O2	0
cpd09070_c0	C12H22O2	0
cpd09071_c0	C11H12O2	0
cpd09072_c0	C12H20O2	0
cpd09073_c0	C12H20O2	0
cpd09074_c0	C12H20O2	0
cpd09075_c0	C10H12O2	0
cpd09076_c0	C6H12O2	0
cpd09077_c0	C8H8O3	0
cpd09078_c0	C12H20O2	0
cpd09079_c0	C10H20O	0
cpd09080_c0	C20H25O5	-1
cpd09081_c0	C30H19N4O5R	-2
cpd09082_c0	C38H26N4O7	-2
cpd09083_c0	C23H17N2O5	-1
cpd09084_c0	C8H7NO	0
cpd09085_c0	C6H12O2	0
cpd09086_c0	C6H10O3	0
cpd09087_c0	C15H12O7	0
cpd09088_c0	C4H9NO3	0
cpd09089_c0	C16H24N3O13P2	-1
cpd09090_c0	C17H26N3O13P2	-1
cpd09091_c0	C17H26N3O13P2	-1
cpd09092_c0	C17H28N3O13P2	-1
cpd09093_c0	C17H28N3O13P2	-1
cpd09094_c0	C8H9NO3	0
cpd09095_c0	C29H39N7O19P3S	-3
cpd09096_c0	C8H5O5	-1
cpd09097_c0	C19H21NO4	0
cpd09098_c0	C17H19NO4	0
cpd09099_c0	C19H23NO4	0
cpd09100_c0	C18H21NO4	0
cpd09101_c0	C17H17NO4	0
cpd09102_c0	C17H14NO4	1
cpd09103_c0	C26H30NO4	-1
cpd09104_c0	C26H36NO6	-1
cpd09105_c0	C26H32NO5	-1
cpd09106_c0	C26H32NO4	-1
cpd09107_c0	C24H27NO3	0
cpd09108_c0	C23H25NO3	0
cpd09109_c0	C23H25NO4	0
cpd09110_c0	C23H25NO4	0
cpd09111_c0	C26H31NO4	0
cpd09112_c0	C23H25NO4	0
cpd09113_c0	C27H33NO4	0
cpd09114_c0	C11H12O3	0
cpd09115_c0	C11H10O2	0
cpd09116_c0	C11H12NO2	1
cpd09117_c0	C11H12NO	1
cpd09118_c0	C5H10O13P3	-3
cpd09119_c0	C20H15O8	-1
cpd09120_c0	C20H13O7	-1
cpd09121_c0	C20H11O8	-1
cpd09122_c0	C21H13O8	-1
cpd09123_c0	C22H15O8	-1
cpd09124_c0	C23H18O8	0
cpd09125_c0	C19H16O7	0
cpd09126_c0	C21H16O7	0
cpd09127_c0	C19H14O5	0
cpd09128_c0	C21H14O8	0
cpd09129_c0	C19H12O6	0
cpd09130_c0	C20H14O6	0
cpd09131_c0	C22H16O8	0
