DATABASE	FORMULA	CHARGE
cpd00232_c0	C11H18NO9	-1
cpd00233_c0	C9H15N5O3	0
cpd00234_c0	C6H10O6	0
cpd00235_c0	C6H12O9P	-1
cpd00236_c0	C4H8O7P	-1
cpd00237_c0	C19H26O2	0
cpd00238_c0	C7H14O10P	-1
cpd00239_c0	H2S	0
cpd00240_c0	C10H13N2O8	-3
cpd00241_c0	C10H13N5O13P3	-3
cpd00242_c0	CHO3	-1
cpd00243_c0	C5H12N3O2	1
cpd00244_c0	Ni	2
cpd00245_c0	C6H7N	0
cpd00246_c0	C10H12N4O5	0
cpd00247_c0	C5H3N2O4	-1
cpd00248_c0	C7H11O6	-1
cpd00249_c0	C9H12N2O6	0
cpd00250_c0	C4H9N3O2	0
cpd00251_c0	C15H21N5O14P2	-2
cpd00253_c0	C5H10N2O3	0
cpd00254_c0	Mg	2
cpd00255_c0	C50H75N15O11	2
cpd00256_c0	C14H25N4O11P2	-1
cpd00257_c0	C5H13N4O3	1
cpd00258_c0	C5H10O5	0
cpd00259_c0	C5H10O5	0
cpd00260_c0	C6H5O7	-3
cpd00261_c0	C5H10O5	0
cpd00262_c0	C23H32N7O19P3S	-4
cpd00263_c0	C8H11NO3	0
cpd00264_c0	C7H22N3	3
cpd00265_c0	C30H52O26	0
cpd00266_c0	C7H15NO3	0
cpd00267_c0	C18H38NO2	1
cpd00268_c0	O3S2	-2
cpd00269_c0	C6H6O5	-2
cpd00270_c0	C30H39N7O19P3S	-3
cpd00271_c0	C6FeN6	3
cpd00272_c0	C16H23N5O15P2	-2
cpd00273_c0	C28H47N5O18	0
cpd00274_c0	C6H13N3O3	0
cpd00275_c0	C10H12N2O3	0
cpd00276_c0	C6H14NO5	1
cpd00277_c0	C10H13N5O4	0
cpd00278_c0	C11H8NO3	-1
cpd00279_c0	C25H37N7O18P3S	-3
cpd00280_c0	C6H9O7	-1
cpd00281_c0	C4H9NO2	0
cpd00282_c0	C5H5N2O4	-1
cpd00283_c0	C10H18O7P2	-2
cpd00284_c0	C6H11O10P	-2
cpd00285_c0	C2H8NO4P	0
cpd00286_c0	C55H90O4P	-1
cpd00287_c0	C4H5O3	-1
cpd00288_c0	C6H14NO8P	0
cpd00289_c0	C20H34O7P2	-2
cpd00290_c0	C6H12O12P2	-2
cpd00291_c0	C9H11NO4	0
cpd00292_c0	C27H40N7O20P3S	-4
cpd00293_c0	C8H15NO9P	-1
cpd00294_c0	C10H13N5O6P	-1
cpd00295_c0	C10H13N5O10P2	-2
cpd00296_c0	C10H13N5O7P	-1
cpd00297_c0	C10H14N2O11P2	-2
cpd00298_c0	C10H14N2O8P	-1
cpd00299_c0	C9H12N2O8P	-1
cpd00300_c0	C5H4N4O3	0
cpd00301_c0	C17H28O	0
cpd00302_c0	C10H13N5O	0
cpd00303_c0	C27H48N6O6	0
cpd00304_c0	C20H28O	0
cpd00305_c0	C12H17N4OS	1
cpd00306_c0	C5H12O5	0
cpd00307_c0	C4H5N3O	0
cpd00308_c0	C3H2O4	-2
cpd00309_c0	C5H4N4O2	0
cpd00310_c0	C9H14N4O3	0
cpd00311_c0	C10H13N5O5	0
cpd00312_c0	C5H10N3	1
cpd00313_c0	C15H9O7	-1
cpd00314_c0	C6H14O6	0
cpd00315_c0	C16H23N5O16P2	-2
cpd00316_c0	C4H4N2	0
cpd00317_c0	C18H42N5O9	5
cpd00318_c0	C10H13N2	1
cpd00319_c0	C10H20O	0
cpd00320_c0	C4H6NO4	-1
cpd00321_c0	C31H41N7O19P3S	-3
cpd00322_c0	C6H13NO2	0
cpd00323_c0	C6H10NO2	-1
cpd00324_c0	CH4S	0
cpd00325_c0	C21H30O2	0
cpd00326_c0	C32H43N7O20P3S	-3
cpd00327_c0	C39H67N7O17P3S	-3
cpd00328_c0	C21H42N7O12	3
cpd00329_c0	C6H10O	0
cpd00330_c0	C19H19N7O6	-2
cpd00331_c0	C6H3O6	-3
cpd00332_c0	C6H11O4	-1
cpd00333_c0	C9H7O2	-1
cpd00334_c0	C3H6O2	0
cpd00335_c0	C6H6O6	0
cpd00336_c0	C20H31O5	-1
cpd00337_c0	C4H6N2O2	0
cpd00338_c0	C5H9NO3	0
cpd00339_c0	C5H11NO2	0
cpd00340_c0	C5H5O4	-1
cpd00341_c0	C5H14N3O	1
cpd00342_c0	C7H14N2O3	0
cpd00343_c0	C5H6N2O5	-2
cpd00344_c0	C6H9N2O4	-1
cpd00345_c0	C20H23N7O6	-2
cpd00346_c0	C4H7NO3	0
cpd00347_c0	C20H20N7O6	-1
cpd00348_c0	C6H12O9P	-1
cpd00349_c0	C7H14O13P2	-2
cpd00350_c0	C15H26O7P2	-2
cpd00351_c0	C11H19N2O6	-1
cpd00352_c0	C6H8NO2	-1
cpd00353_c0	C6H5O7	-3
cpd00354_c0	C5H9O10P2R	-2
cpd00355_c0	C11H15N2O8P	0
cpd00356_c0	C9H13N3O13P3	-3
cpd00357_c0	C10H14N2O14P3	-3
cpd00358_c0	C9H12N2O14P3	-3
cpd00359_c0	C8H7N	0
cpd00360_c0	C5H4N4	0
cpd00361_c0	C4H8O2	0
cpd00362_c0	C18H22O2	0
cpd00363_c0	C2H6O	0
cpd00364_c0	C6H4O2	0
cpd00365_c0	C20H30O	0
cpd00366_c0	C5H12O5	0
cpd00367_c0	C9H13N3O5	0
cpd00424_c0	C7H14N2O4S	0
cpd00368_c0	C5H10O5	0
cpd00369_c0	C27H44O6	0
cpd00370_c0	C6H9O5	-1
cpd00371_c0	C3H6O	0
cpd00372_c0	C3H4N2	0
cpd00373_c0	C11H11O5	-1
cpd00374_c0	C8H12NO	1
cpd00375_c0	C7H6NOR	0
cpd00376_c0	C33H34N4O6	-2
cpd00378_c0	CH3NO	0
cpd00379_c0	C5H6O4	-2
cpd00380_c0	C5H4O4	-2
cpd00382_c0	C18H32O16	0
cpd00383_c0	C7H9O5	-1
cpd00384_c0	C19H42N5O7	5
cpd00385_c0	C17H16O7	0
cpd00386_c0	C4H4O5	-2
cpd00387_c0	C16H23N5O15P2	-2
cpd00388_c0	C4H7N4O4	-1
cpd00389_c0	C33H32N4O6	-2
cpd00390_c0	C15H23N3O16P2	-2
cpd00391_c0	C5H9O6	-1
cpd00392_c0	C4H10O4	0
cpd00393_c0	C19H17N7O6	-2
cpd00394_c0	C21H48N5O7	5
cpd00395_c0	C3H6NO5S	-1
cpd00396_c0	C6H12O5	0
cpd00397_c0	C5H10O5	0
cpd00398_c0	C15H12O5	0
cpd00399_c0	C39H65N7O17P3S	-3
cpd00400_c0	C3H3O2	-1
cpd00401_c0	C28H37N7O17P3S	-3
cpd00402_c0	C12H19N3O13P2	-2
cpd00403_c0	C6H11O7	-1
cpd00404_c0	C5H13N2O2	1
cpd00405_c0	C16H32O	0
cpd00406_c0	C2H7NO2S	0
cpd00407_c0	C10H16	0
cpd00408_c0	C6H11O4	-1
cpd00409_c0	C19H30O2	0
cpd00410_c0	C42H52FeN8O6S2	2
cpd00411_c0	C11H12N2O2	0
cpd00412_c0	C9H12N2O5	0
cpd00413_c0	C26H38N7O19P3S	-4
cpd00414_c0	C36H65N8O17	1
cpd00415_c0	C6H6O2	0
cpd00416_c0	C26H36N7O19P3S	-4
cpd00417_c0	C5H12O5	0
cpd00418_c0	NO	0
cpd00419_c0	C8H13N2O2	1
cpd00420_c0	C19H28O2	0
cpd00421_c0	HO10P3	-4
cpd00422_c0	C30H39N7O17P3S	-3
cpd00423_c0	C62H89CoN13O14P	1
cpd00425_c0	C2H8N	1
cpd00426_c0	C8H7O4	-1
cpd00427_c0	C5H9O6	-1
cpd00428_c0	C3H4O2	0
cpd00429_c0	C8H12NO3	1
cpd00430_c0	C8H8O2	0
cpd00431_c0	C24H48N2O6PR	0
cpd00432_c0	C4H4O6	-2
cpd00433_c0	C10H20O	0
cpd00434_c0	C4H10NO	1
cpd00435_c0	C7H8O	0
cpd00436_c0	C5H8O	0
cpd00437_c0	C6H9O7	-1
cpd00438_c0	C10H13N5O3	0
cpd00439_c0	C8H7NO	0
cpd00440_c0	C23H32N3O10P	-2
cpd00441_c0	C3H10N	1
cpd00442_c0	C27H37N7O22P3S	-5
cpd00443_c0	C7H6NO2	-1
cpd00444_c0	C11H19N4O11P2	-1
cpd00445_c0	C6H14N	1
cpd00446_c0	C10H11N5O6P	-1
cpd00447_c0	C5H12NO	1
cpd00448_c0	C3H6O3	0
cpd00449_c0	C8H17NOS2	0
cpd00450_c0	C2H6S	0
cpd00451_c0	C3H7N3O2	0
cpd00452_c0	C29H39N7O17P3S	-3
cpd00453_c0	C3H8O2	0
cpd00454_c0	C20H31O5	-1
cpd00455_c0	C6H12O5	0
cpd00456_c0	C7H5O3	-1
cpd00457_c0	C5H14NO4P	0
cpd00458_c0	C10H12O3	0
cpd00459_c0	C10H15NO9R	-1
cpd00460_c0	C2H3O4S	-1
cpd00461_c0	C5H5O3	-1
cpd00463_c0	C27H44O	0
